"";"Unannotated_gene"
"160";"Gpal_D383_g13687.t1"
"161";"Gpal_D383_g13836.t1"
"162";"Gpal_D383_g13894.t1"
"163";"Gpal_D383_g13959.t1"
"164";"Gpal_D383_g13992.t1"
"165";"Gpal_D383_g14047.t1"
"166";"Gpal_D383_g14056.t1"
"167";"Gpal_D383_g14075.t1"
"168";"Gpal_D383_g14077.t1"
"169";"Gpal_D383_g14111.t1"
"170";"Gpal_D383_g14275.t1"
"171";"Gpal_D383_g14500.t1"
"172";"Gpal_D383_g14502.t1"
"173";"Gpal_D383_g14509.t1"
"174";"Gpal_D383_g14529.t1"
"175";"Gpal_D383_g14543.t1"
"176";"Gpal_D383_g14544.t1"
"177";"Gpal_D383_g14562.t1"
"178";"Gpal_D383_g14586.t1"
"179";"Gpal_D383_g14606.t1"
"180";"Gpal_D383_g14775.t1"
"181";"Gpal_D383_g14791.t1"
"182";"Gpal_D383_g14796.t1"
"183";"Gpal_D383_g14799.t1"
"184";"Gpal_D383_g14829.t1"
"185";"Gpal_D383_g14830.t1"
"186";"Gpal_D383_g14862.t1"
"187";"Gpal_D383_g14863.t1"
"188";"Gpal_D383_g14923.t1"
"189";"Gpal_D383_g15046.t1"
"190";"Gpal_D383_g15073.t1"
"191";"Gpal_D383_g15143.t1"
"192";"Gpal_D383_g15149.t1"
"193";"Gpal_D383_g15211.t1"
"194";"Gpal_D383_g15236.t1"
"195";"Gpal_D383_g15281.t1"
"196";"Gpal_D383_g15321.t1"
"197";"Gpal_D383_g15633.t1"
"198";"Gpal_D383_g15643.t1"
"199";"Gpal_D383_g15647.t1"
"200";"Gpal_D383_g15670.t1"
"201";"Gpal_D383_g15678.t1"
"202";"Gpal_D383_g15685.t1"
"203";"Gpal_D383_g15702.t1"
"204";"Gpal_D383_g15728.t1"
"205";"Gpal_D383_g15737.t1"
"206";"Gpal_D383_g15750.t1"
"207";"Gpal_D383_g15813.t1"
"208";"Gpal_D383_g16048.t1"
"209";"Gpal_D383_g16058.t1"
"210";"Gpal_D383_g16061.t1"
"211";"Gpal_D383_g16275.t1"
"212";"Gpal_D383_g16321.t1"
"213";"Gpal_D383_g16410.t1"
"214";"Gpal_D383_g16416.t1"
"215";"Gpal_D383_g16420.t1"
"216";"Gpal_D383_g16528.t1"
"217";"Gpal_D383_g16529.t1"
"218";"Gpal_D383_g16557.t1"
"219";"Gpal_D383_g16712.t1"
"220";"Gpal_D383_g16750.t1"
"221";"Gpal_D383_g16801.t1"
"222";"Gpal_D383_g16875.t1"
"223";"Gpal_D383_g16876.t1"
"224";"Gpal_D383_g16877.t1"
"225";"Gpal_D383_g16904.t1"
"226";"Gpal_D383_g16924.t1"
"227";"Gpal_D383_g17118.t1"
"228";"Gpal_D383_g17230.t1"
"229";"Gpal_D383_g17246.t1"
"230";"Gpal_D383_g17268.t1"
"231";"Gpal_D383_g17271.t1"
"232";"Gpal_D383_g17272.t1"
"233";"Gpal_D383_g17319.t1"
"234";"Gpal_D383_g17370.t1"
"235";"Gpal_D383_g17372.t1"
"236";"Gpal_D383_g17406.t1"
"237";"Gpal_D383_g17468.t1"
"238";"Gpal_D383_g17644.t1"
"239";"Gpal_D383_g17678.t1"
"240";"Gpal_D383_g17892.t1"
"241";"Gpal_D383_g18015.t1"
